## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/media/maha/Elements/ngs2-assignment/1pass/Aligned.out.sorted.bam] OUTPUT=/media/maha/Elements/ngs2-assignment/1pass/Aligned.out.dedup.bam METRICS_FILE=/media/maha/Elements/ngs2-assignment/1pass/Aligned.out.metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 28 21:07:20 EET 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	22930	67688	0	0	3835	0	0.167248	60673

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	15811	15811
2.0	1.68528	2842	2842
3.0	2.154889	381	381
4.0	2.476702	45	45
5.0	2.697235	6	6
6.0	2.848361	2	2
7.0	2.951925	3	3
8.0	3.022896	3	3
9.0	3.07153	1	1
10.0	3.104859	0	0
11.0	3.127698	0	0
12.0	3.143349	0	0
13.0	3.154075	0	0
14.0	3.161425	0	0
15.0	3.166461	0	0
16.0	3.169913	1	1
17.0	3.172278	0	0
18.0	3.173899	0	0
19.0	3.17501	0	0
20.0	3.175771	0	0
21.0	3.176293	0	0
22.0	3.17665	0	0
23.0	3.176895	0	0
24.0	3.177063	0	0
25.0	3.177178	0	0
26.0	3.177257	0	0
27.0	3.177311	0	0
28.0	3.177348	0	0
29.0	3.177373	0	0
30.0	3.177391	0	0
31.0	3.177403	0	0
32.0	3.177411	0	0
33.0	3.177416	0	0
34.0	3.17742	0	0
35.0	3.177423	0	0
36.0	3.177425	0	0
37.0	3.177426	0	0
38.0	3.177427	0	0
39.0	3.177427	0	0
40.0	3.177428	0	0
41.0	3.177428	0	0
42.0	3.177428	0	0
43.0	3.177428	0	0
44.0	3.177428	0	0
45.0	3.177429	0	0
46.0	3.177429	0	0
47.0	3.177429	0	0
48.0	3.177429	0	0
49.0	3.177429	0	0
50.0	3.177429	0	0
51.0	3.177429	0	0
52.0	3.177429	0	0
53.0	3.177429	0	0
54.0	3.177429	0	0
55.0	3.177429	0	0
56.0	3.177429	0	0
57.0	3.177429	0	0
58.0	3.177429	0	0
59.0	3.177429	0	0
60.0	3.177429	0	0
61.0	3.177429	0	0
62.0	3.177429	0	0
63.0	3.177429	0	0
64.0	3.177429	0	0
65.0	3.177429	0	0
66.0	3.177429	0	0
67.0	3.177429	0	0
68.0	3.177429	0	0
69.0	3.177429	0	0
70.0	3.177429	0	0
71.0	3.177429	0	0
72.0	3.177429	0	0
73.0	3.177429	0	0
74.0	3.177429	0	0
75.0	3.177429	0	0
76.0	3.177429	0	0
77.0	3.177429	0	0
78.0	3.177429	0	0
79.0	3.177429	0	0
80.0	3.177429	0	0
81.0	3.177429	0	0
82.0	3.177429	0	0
83.0	3.177429	0	0
84.0	3.177429	0	0
85.0	3.177429	0	0
86.0	3.177429	0	0
87.0	3.177429	0	0
88.0	3.177429	0	0
89.0	3.177429	0	0
90.0	3.177429	0	0
91.0	3.177429	0	0
92.0	3.177429	0	0
93.0	3.177429	0	0
94.0	3.177429	0	0
95.0	3.177429	0	0
96.0	3.177429	0	0
97.0	3.177429	0	0
98.0	3.177429	0	0
99.0	3.177429	0	0
100.0	3.177429	0	0

